Unnamed: 0,timestamp,id,event,details,id_group
485,2000-01-01 11:24:19,,relationship_node.edited,"{'relationship_id': 'instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f-instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a', 'source_object_id': 'instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f', 'target_object_id': 'instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a', 'old_relation': 'related', 'new_relation': 'holding', 'source_object_name': 'Man', 'target_object_name': 'box', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
486,2000-01-01 11:24:22,instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a,layout.node.moved,"{'nodeId': 'instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a', 'newPos': {'x': 220.44791412353516, 'y': 375.44791412353516}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
487,2000-01-01 11:24:24,,relationship_node.created,"{'relationship_id': 'instance-45b6c4d0-7b0f-467c-8c05-028ebf2b7812->instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a:holding', 'sourceId': 'instance-45b6c4d0-7b0f-467c-8c05-028ebf2b7812', 'targetId': 'instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a', 'relation': 'holding', 'video_time': '38:16'}",7
488,2000-01-01 11:24:40,,relationship_node.created,"{'relationship_id': 'instance-e31a7f32-eead-426d-b28e-f76cad91bda6->instance-40a5bd78-e6a3-4927-bc48-c5e3ba5410b9:looking at', 'sourceId': 'instance-e31a7f32-eead-426d-b28e-f76cad91bda6', 'targetId': 'instance-40a5bd78-e6a3-4927-bc48-c5e3ba5410b9', 'relation': 'looking at', 'video_time': '38:32'}",7
489,2000-01-01 11:24:55,,instance.created_from_text,"{'position': {'x': 38.447914123535156, 'y': 41.447914123535156}, 'screen_position': {'x': 101, 'y': 84}, 'board_type': 'advanced', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
490,2000-01-01 11:25:50,instance-558efcbb-ae2f-4733-a049-1a3fa61f3557,layout.node.moved,"{'nodeId': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557', 'newPos': {'x': 6.447914123535156, 'y': 10.447914123535156}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
491,2000-01-01 11:25:53,instance-558efcbb-ae2f-4733-a049-1a3fa61f3557-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 503, 'height': 294}, 'delta': {'width': 453, 'height': 244}, 'linkedSizeNodeIds': [], 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
492,2000-01-01 11:26:17,instance-558efcbb-ae2f-4733-a049-1a3fa61f3557,object_node.extract.confirmed,"{'object_id': 'object3', 'object_name': 'car', 'parent_instance_id': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
493,2000-01-01 11:26:24,instance-6ffd5387-af2a-4369-9be4-335c324b442f,layout.node.moved,"{'nodeId': 'instance-6ffd5387-af2a-4369-9be4-335c324b442f', 'newPos': {'x': 295, 'y': 142}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
494,2000-01-01 11:26:28,instance-6ffd5387-af2a-4369-9be4-335c324b442f-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-6ffd5387-af2a-4369-9be4-335c324b442f-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 190, 'height': 138}, 'delta': {'width': 140, 'height': 88}, 'linkedSizeNodeIds': [], 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
495,2000-01-01 11:26:31,instance-6ffd5387-af2a-4369-9be4-335c324b442f,layout.node.moved,"{'nodeId': 'instance-6ffd5387-af2a-4369-9be4-335c324b442f', 'newPos': {'x': 272, 'y': 143}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
496,2000-01-01 11:26:34,instance-558efcbb-ae2f-4733-a049-1a3fa61f3557,object_node.extract.confirmed,"{'object_id': 'object4', 'object_name': 'lamp', 'parent_instance_id': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
497,2000-01-01 11:26:39,instance-d6e24f15-72dd-4def-9106-ed04113195ee-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-d6e24f15-72dd-4def-9106-ed04113195ee-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 118, 'height': 222}, 'delta': {'width': 68, 'height': 172}, 'linkedSizeNodeIds': [], 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
498,2000-01-01 11:26:42,instance-d6e24f15-72dd-4def-9106-ed04113195ee,layout.node.moved,"{'nodeId': 'instance-d6e24f15-72dd-4def-9106-ed04113195ee', 'newPos': {'x': 63, 'y': 57}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
